lock eyes across room|heavily flirt|leave family reunion 
light a bunch of candles|realize it's creepy|just get tipsy and smooch",no,yes
The three things you must do on your wedding day,"have fun|take some time together|avoid any witch's curses 
argue over price of open bar|dance|get Aunt Cindy a ride home 
slice cake|smash into each others' faces|hold grudge for years",no,no
"You know you’ve gotten the wrong shampoo bottle when the three-step directions are <BLANK>, <BLANK>, <BLANK>","rinse|lather|kill a whale 
rinse|lather|smite your enemies 
rinse|lather|if u value ur life dont repeat",no,no
The three things you should avoid eating to live ten years longer,"poison|uranium|oddly enough, toast 
your words|your feelings|but mostly your feelings 
glass|metal|anything ""chicken fried""",no,no
The three lies you tell yourself are...,"the toilet isn't leaking|i'll fix it tomorrow|there isn't sewage everywhere 
i don't like the Golden Girls|i didn't order a gray wig|u don't ""have"" to call me Sophia 
i look good in bangs|i can trim my own bangs|i love my shaved head",no,no
The three things you need to be good at to truly get ahead in life,"lying|cheating|combo of lying and cheating 
being born rich|acting like you work hard|that's it 
being good|being honest|realizing that's for suckers",no,no
The three steps to having a perfect little morning,"wake up|figure out where you are|rob the place 
make some coffee|eat some cereal|go back to bed 
struggle with vampire|pull back curtain|reveal sunrise",no,no
"Kids are made of things like “sugar, spice, and everything nice.” What are adults made of?","regret|anger|stuffed crust pizza 
debt|more debt|get rich quick schemes 
retirement funds|lawn care knowledge|Facebook opinions",no,no
Three things you really don’t want your doctor to say during an exam,"ew|what's that thing?|oh god it bit me 
terrible bones|your blood sucks|worst. organs. ever. 
wait|hold on|wrong room",no,no
Three things you always forget when you leave the house,"keys|wallet|pants 
sword|shield|map to dragon's lair 
phone|hat|sense of direction",no,no
Three things that are better when they’re fast,"planes|trains|root canals 
racecars|jet planes|chest waxings 
school recitals|haircuts|racehorses",no,no
Three things you can say to immediately get everyone’s attention,"fire|free tacos|the free tacos are on fire 
I|Pooped|My Pants 
Nobody Panic|It's Okay|But There's a Loose Cobra",no,no
The three signs that you are now... an adult,"hair falls out|hair grows elsewhere|always saying ""huh"" 
start talking about lawns|start talking about taxes|discover public radio 
eat more fiber|in bed by 10|suddenly understand escrow",no,no
"If a picture is worth a thousand words, what three words did your last selfie say?","what's|that|stain 
sadness|depression|taco bell 
I|need|attention",no,no
The three stages of life are simply...,"birth|death|come back as a rhino 
birth|growing/losing hair|death 
pre-high school|high school|missing high school",no,no
The top three ailments diagnosed by old-timey doctors,"bee brains|adventurer's elbow|monster toes 
coal tongue|death poops|evil hair 
wandering ear|excited spleen|haunted stomach",no,no
Three terrifying things to stumble across in the woods,"a bear|a ghost|your past regrets 
a UFO|a vampire|your credit card debt 
a grizzled loner|but he wants to hang out|and talk fantasy baseball",no,no
Say three nice things about <ANYPLAYER>,"I can't|I'm not|actually here 
nice person|i don't have specific examples|but I assume so 
playing Quiplash 3|not winning|but didn't give up",no,no
Three signs you’ve checked into a really bad rental house,"no toaster|no blender|no roof 
no air conditioning|no furniture|p sure it's a gas station 
carpet smells|photographers everywhere|chalk outline still visible",no,no
Three signs that you’re slowly becoming your parents,"clip coupons|wake up early|show love through food 
become passive aggressive|even to dogs|and babies 
eat at buffets|yell at the news|eat a lot of bran",no,no
Three words that will instantly drive you to irrational anger,"pumpkin|spice|anything 
overhead|bins|full 
heard|my|podcast?",no,no
Three weird things to hear a ghost moan in the middle of the night,"Chili's|baby back ribs|barbecue sauce 
who|wants|margaritas 
am i dead?|where's the TV remote?|we're outta peanut butter",no,no
The three best things the internet hath given to us,"puppy videos|instant news|angry uncles 
stock tips|online banking|bankruptcy guidance 
constant news|constant opinions|constant stress",no,no
The three most ineffective things to write in the sand to signal a rescue plane,"Doing|Fine|Thanks 
Get|Outta|Here 
Need Tickets To Lolla|Ask Me About My Honor Student|Keep having a good day",no,no
Three Zoom backgrounds nobody’s asking for,"a sausage factory|toe surgery|an ant farm 
a rerun of Matlock|budget debates|forklift accidents 
a staring clown|a ball of leeches|a closeup of dandruff",no,no
Three things you should never get wet,"smart watch|smart phone|smart people 
sugar|salt|a combination of the two 
my hair|no, seriously|I finally got it how I want",no,no
Let’s be positive! Name three things you’re looking forward to!,"Quiplash 4|Quiplash 5|Quiplash: The Roller Coaster 
a beach vacation|a margarita|getting sand out of my socks 
the next superhero movie|unless it's dumb|it'll probably be dumb",no,no
Three signs you live next door to a mob boss,"bullets all over lawn|constant whacking sounds|makes offers you can't refuse 
constantly paying you off|trash can full of subpoenas|has ""Mob Boss"" pajamas 
spends fortune in rolled up rugs|always digging holes|wipes brow with $100 bills",no,yes
Three of Einstein’s less impressive discoveries,"the dishwasher heavy cycle|a missing sock|a very sexy planet 
strawberry milk|chocolate milk|banana milk 
several magic tricks|the theory of smellativity|Mumford and Sons",no,no
Three things that are the REAL treasures we found along the way,"friendship|family|a big big ruby 
working organs|good credit|nice in-laws 
self-esteem|good posture|callback jokes",no,no
Get positive! What are three GOOD things about being dead?,"no more rent|no more small talk|quiet neighbors 
free dirt|hang with ghosts|no more talking to the living 
no|social|media",no,yes
The three things you need to start that new society of yours,"butcher|baker|candlestick reseller 
Tom Hanks|Tom Hanks' son|Guy Fieri 
money|some property|UN recognition",no,no
Three neutral things to write in a birthday card for a coworker you don’t know that well,"You were born|general congratulations|many wishes 
This is a card|good job|nice desk 
Happy|Birthday|Ron?",no,no
Summarize your last romantic encounter in three words,"rollercoaster|safety|needed 
Asleep|by|nine",no,yes
Three things you can wear to a business meeting to show you deserve respect,"a power tie|a fedora|brass knuckles 
cool glasses|a big mustache|a cowboy hat 
a bunch of rings|a magic amulet|nice shoes",no,no
Three things Mars needs before we can live there,"more oxygen|more water|more taco trucks 
agriculture|entertainment|a mini Las Vegas 
swimming pools|lazy rivers|any water features, really",no,no
"Honestly, the three greatest achievements of mankind have been...","geometry|poetry|calzones 
fat free milk|video chatting|the Grand Canyon? 
electricity|philosophy|drive-thrus",no,no
Three pieces of advice you’d give your younger self,"eat more veggies|but not deep fried|okay, some deep fried 
save your money|save your photos|don't save toenails 
travel more|eat more|write a predictable book",no,no
Let’s get to know each other! Describe yourself in three words!,"cool|suave|delusional 
hungry|sleepy|repeat 
happy|beyond|belief",no,no
Three things you shouldn’t do when you’re angry,"operate a chainsaw|make balloon animals|brain surgery 
officiate a wedding|teach toddlers|get angrier 
try on underwear|shave your legs|talk to the public",no,no
Three words you don’t want to hear someone use to describe your genitals,"rough|and|ready 
fixer-upper|teardown|sewage problems",no,yes
Three things you’d put in a trap as bait for Ben Affleck,"cigarettes|Red Sox tickets|bad decisions 
Dunkin' Donuts coffee|Dunkin' Donuts donuts|the CEO of Dunkin' Donuts",yes,no
Three things you want to touch RIGHT NOW,"hearts|minds|a turtle 
slime|gak|combo slime-gak 
a $10 bill|a $100 bill|honestly, just a living wage",no,no
Three unrealistic goals to set for yourself this year,"lose weight|eat healthy|teach a dog to juggle 
learn nine languages|write an opera|get more sleep 
read a novel|write a novel|eat a novel",no,no
Three secret off-menu items you can order at McDonald’s,"Chicken Cubes|1,000 Pounder|Large drink of ketchup 
Fried iceberg lettuce|bag of stale buns|Sushi 
ribeye steak|baked potato|a glass of scotch",no,no
Three words that could describe both a kiss and a sandwich,"sloppy|messy|unsanitary 
sensual|erotic|beefy 
a little dry|full of tongue|open-faced",no,yes
Three simple truths about humanity,"we stink|we drink|we like dogs 
we're trying our best|our best isn't good enough|we're doomed 
we live|we love|we're mean on Twitter",no,no
The three things standing between you and becoming president,"intelligence|charisma|good looks 
my mother|my father|my dastardly son Guavus 
money|connections|all those crimes I did",yes,no
The three perks to living on a pirate ship,"free food|free jewelry|access to cannons 
salt air|salt water|salt, in general 
free parrot|free cannonballs|occasional curses",no,no
Three nicknames you’d like to have,"Thunder Keg|Blast Zone|Cinnamon Roll 
The Juggler|The Stinker|The Joker 
Mustang|Camaro|Hyundai Sonata",no,no
Three frustrating requests a website captcha can make to prove you’re not a robot,"find all buses|find all crosswalks|find the meaning of life 
find all cars|find all lampposts|find true love 
read the letters|read the numbers|read The Lightning Thief",no,no
Three signs you’re falling in love,"sweaty palms|light fever|constant vomiting 
writing poetry more|like a lot of poetry|and you use a big feather pen 
you bathe more|you cut your toenails now|you stop skulking on rooftops",no,no
Three things you would say to a wolf disguised as your grandma,"what big paws you have|are you howling?|what happened on the rug? 
what big eyes you have|what big ears you have|is that a deer carcass? 
what big eyes you have|what big ears you have|what big fleas you have",no,no
Three things you really thought we would have invented by now,"robot doctors|personal jetpacks|automatic toilet paper 
sausage trees|hamburger bushes|better cholesterol medicine 
robots that cook|robots that clean|robots who don't judge me",no,no
Three things a good parent packs in their kid’s backpack,"a banana|a pen|a trust fund 
a pudding cup|a nice note|keys to a robot 
a comic book|some crayons|deed to the family vineyard",no,no
The three things you MUST consider when buying a wedding ring,"is it too expensive|is it too cheap|how can I steal it? 
is it the right one|are they the right one|will this unite the kingdom 
does it fit|does it glow green|will it give them superpowers",no,no
The three worst materials the Three Little Pigs could’ve built their houses out of,"paper|leaves|bacon 
plastic bags|uranium|pretend bricks 
paper mache|pudding|love",no,no
Three distracting things to yell as someone tries to hit a golf ball,"miss it!|love you!|alley oop! 
free coffee!|I'm your son!|ah, dragon! 
kissie, kissie!|ah, robots!|why don't you love me?!",no,no
Three ways to beat the heat this summer,"stuff your pants with ice|move to Alaska|marry an ice cream millionaire 
keep saying it's a dry heat|think cool thoughts|just give up and melt 
take off clothes|go outside|enjoy air conditioned jail",no,no
The three things space aliens are thinking as they observe us from afar,"they sure like pollution|they spend a lot on clothes|I miss MTV's Road Rules 
they sure get mad a lot|especially about traffic|and everything, really 
they aren't too smart|they're very impulsive|why aren't dogs in charge?",no,no
Three things on your to-do list if you could spend the day with Albert Einstein,"go fishing|play chess|have him build you a spaceship 
talk about life|talk about the cosmos|get some sweet Insta photos",no,no
Three things you can only do in Florida,"visit the Everglades|visit EPCOT|fight a giant mosquito 
see a manatee|swim with a manatee|discover you hate manatees",no,no
Make three bold predictions that are sure to come true in the next year,"dogs will talk|cats will fly|hamsters unchanged 
sky will turn red|oceans will boil|we get a Cheers reboot 
cars will fly|planes will drive|submarines in space",no,no
Three things that happened at the Monster Mash that they couldn’t sing about,"Frankenstein pooped his pants|Wolfman stole some change|Dracula broke his ankle 
The Mummy clogged the toilet|Dracula got mono|They ran out pigs in a blanket 
It was more a bash than a mash|It was at the YMCA|They were all very polite",yes,no
Three questions you MUST ask the owner before buying a house,"how haunted is it?|where's the best place to cry|will they visit? 
what's that smell?|is it Godzilla-proof?|did they film Parent Trap here? 
is that original crown molding?|is it a good school district?|can i buy just half?",no,no
The three questions you must ask yourself before starting a podcast,"are people interested?|am i interesting?|am I gonna do it anyways? 
should it be funny?|should it be scary?|should it ramble on for hours?",no,no
The three most common injuries suffered by Santa Claus,"chimney butt|reindeer lung|mistletoe hives 
bird attacks|zapped by lightning|ungrateful kid bites",no,no
The three things you think the first time you get punched in the face,"ow!|that hurt|why did I fight a kangaroo? 
so this| is|kickboxing 
that hurt|that really hurt|maybe I shouldn't be Batman",no,no
Three things that are considered bad etiquette at the gym,"not wiping machines|using equipment too long|licking the dumbbells 
throwing down weights|taking too long in shower|making a fort from used towels",no,no
Three weird things for a bodybuilder to yell as they do some heavy squats,"Mustard!|Ketchup!|Relish! 
My Basement is Leaking!|Need A Repair Company!|Any recommendations?! 
This|Gym|Is Haunted!",no,no
Three warnings they need to put on the side of beer cans,"may cause headaches|may cause inflated self-worth|may cause rambling conversations 
may cause hangovers|may cause impulse purchases|may cause late night ex texts",no,yes
Your three-step plan for defeating King Kong,"climb Empire State Building|find out why he's mad|hug it out 
dress like a sexy ape|get engaged|leave him altar, devastated",no,no
Three signs you’re becoming boring,"your parties are at 8AM|and you serve 2% milk|everyone out by 9 
you buy a house|get really into your lawn|start a lawncare podcast",no,no
Three weird times to just start yelling “Vroom! Vroom! Vroom!”,"during your wedding vows|at a class recital|after a big race 
while petting a cat|while eating a taco|while hosting NPR 
when grocery shopping|when making a bed|any time not in a car",no,no
Your three-step plan for creating a Frankenstein-style monster,"zap him with lightning|give him a sportcoat|and neck bolts? 
find a big guy|bring him back to life|hope you become pals",no,no
The top three things overheard at nude workplaces,"you can't borrow my chair|turn up the heat|how did you steal a stapler? 
we wore the same thing!|is it casual Friday|where's the disinfectant?",no,yes
Your three-step plan for escaping prison that’s bound to fail,"get a spoon|dig a tunnel|to that nicer prison next door 
collect all the yarn you can|knit an airplane|fly to Hawaii 
say ""I love it here""|until they believe you|they let you go as punishment",no,no
Three ways to stop yourself from crying at a Pixar movie,"think of something awful|like my life|now i'm bummed 
think happy thoughts|think happier thoughts|give up and weep 
take frequent breaks|don't get invested|be dead inside",no,no
"The three act story of your life, so far","I was born|I went to college|it was expensive 
I was a happy kid|a less happy teenager|then I fought a werewolf 
I grew up in a small town|met the love of my life|got a dog last week",no,no
Whoa! Scientists just discovered these three surprising facts about pandas!,"They can fly|They die in sunlight|Nope, that's vampires 
They're too adorable|They hate bamboo|They're made of marshmallow 
They're not bears|They're not cats|They're actually big skunks",no,no
The three actions that’ll get you banned from The Land of Oz,"stealing yellow bricks|breeding flying monkeys|phone scams 
stealing the tin man's axe|calling the scarecrow names|downloading movies",no,no
Three crappy excuses for not getting a kid the bike they wanted for their birthday,"they were out|bikes are too dangerous|it's not your birthday 
bikes were outlawed today|the dog ate it|bikes don't really exist 
the store was closed|I gave you one, didn't I?|I thought you said pike",no,no
Three words that will get you out of any speeding ticket,"I|Am|Batman 
Here's|Some|Gold 
Jedi|Mind|Trick!",yes,no
